YT_ID Start_Time
UTgWLbuCWDo 327
qWpImMW4DHI 343
sYg2mOizdZI 10129
sYg2mOizdZI 17693
BkYEfncGw40 439
KOxPkbOUzV0 1462
N-e4qGIbA7g 15
l8WpGdaJ19k 24
cKyxhGdD67o 302
aQjg0AYt868 298
eGi-XXIynEg 3145
48rN7llQrxU 711
4vP4_wEunFw 122
Pud2WnmJtJc 966
gkcVbhfvnGI 532
FWpruxd6WEM 4
Um3u_8prJTc 82
gtIF8lJOOPE 185
qO61mS3bV5c 443
gkcVbhfvnGI 1182
Idars1wIaD0 469
w3sz4OSY7II 1226
TGma4afvBYs 54
eSd0hDyukcA 96
gzUVlpffsbE 916
dAMUnJqNWaw 2981
AoBcpyTFLOg 1275
0FB9jMXMP8A 123
4y1bwizMAXo 35
J54a-qyH3dA 1527
dMYhXvXvQNI 2916
c-tL8nt3Nak 175
sYg2mOizdZI 33983
sYg2mOizdZI 32118
4BZX_h5Dohk 34
-ErSI9Rnnwo 730
vAClSdedE1w 637
ck4C0EYY9A8 2420
Oak26yVbibQ 116
XHAI-RdumDk 3889
pI7eN_Mpy64 99
w3sz4OSY7II 1237
uXwJultSIHE 208
gzUVlpffsbE 566
fIyWWwbq8dg 10
ouKm3NdV5YE 3034
IWLEuDxkcv4 5205
PKOA2dZnkPo 23
JaYgXWnHdNA 82
KpwPf42QGbI 331
becFEU7sHJU 4681
_Cm9OW6caCo 121
GVhSOeTOYag 835
48rN7llQrxU 5421
Bc1X8fPVogA 2343
Y8BLz-u0u7c 247
vtHqobULN6I 4755
FCN5Wf9iDC8 298
sYg2mOizdZI 13824
KKqelAobVOY 130
yoyJAb8hXkw 1039
GqwLqFJamcc 150
PDoUv27_BVg 426
Qhf-aeIt8Xs 200
oEp-LPx7nL8 124
5g8UsTKizbM 2274
qWpImMW4DHI 33
LMoszBdVXN4 43
f5w8BHxiQ_Q 936
nQxNSwEmM5s 1053
sYg2mOizdZI 12887
MxRm6CS0WE8 506
qO61mS3bV5c 920
q9i1neIo2pc 18
Ra9FqlaaeK8 207
dN7X90uGRQE 244
yUTObNo1c_o 688
yoyJAb8hXkw 211
pUXlnYregS8 1480
q3b5pp_iRiY 95
becFEU7sHJU 3603
hK5Lnpzf_xM 1380
sYg2mOizdZI 24174
jT-VXQyvlTw 1514
sYg2mOizdZI 14418
OJmVAmBcaK4 479
AdSwfWvswZM 197
A-MmvcWI-18 35
AaIkC0dSeZM 350
yaVGpNiWiaY 289
kjYFlzL6jCA 13
B6mLjgn2tAw 2669
BvG7Ykm39_0 169
d9qJ-XWnFe4 52
S9w8HIDshPY 971
xR88FEJVFSk 1189
AaJX17II-qw 312
-MnRxON-78s 3265
sYg2mOizdZI 15906
HreW_JqW2p8 2401
qWpImMW4DHI 2093
PDoUv27_BVg 1632
6yFaavOpXPI 155
IWLEuDxkcv4 5628
_AV7iNbWyoY 229
eYZ1d55Xrb0 161
4Rz-_5QMUFA 167
nNtKRwpBEEY 322
4DzcXZd45d4 1657
mbBSsSL8c9M 1719
1po3ma5YHFs 377
v76xPbDr14M 1412
sYg2mOizdZI 35288
03UPyfDYf4g 184
OJmVAmBcaK4 462
2EaicpJ0vYk 450
AaIkC0dSeZM 50
sYg2mOizdZI 8556
YnjCKCSvy3k 446
dAMUnJqNWaw 2529
vtHqobULN6I 4517
O-WYBgM8xCY 1194
sYg2mOizdZI 32645
YFGgXLvsEGc 523
TC2jDzJxlTE 206
-j1NkyfHMPw 801
UsYtt2zjq5Q 36
CN7MhxLuc_Q 2259
my5DHbLwnLI 2096
693I4pyD2wY 2
vtHqobULN6I 4388
qWpImMW4DHI 1942
So9RUFpdPFU 71
s7YxeM4YWo8 4116
sYg2mOizdZI 35534
pHUVS_GrIeM 56
4DzcXZd45d4 524
dAMUnJqNWaw 886
PJFOnPTH_Qk 137
TrhOtLNHVVY 1435
fhuwLnHsH5U 146
wx_DiRTHcDc 3855
W1QCabWkH8w 1240
AZVWoH51U6Y 124
_AV7iNbWyoY 620
di9VJhanyl4 226
ibHIrsNvhV8 1255
qAPAId7lpEQ 2152
PKY98N8ffnI 1188
Awe_NmnErGg 1816
2lqdbhgo-Y8 1012
6tAbmpe1OL4 432
LVKEZkWmGZQ 885
s7YxeM4YWo8 1769
e3u74RxCyVI 40
wx_DiRTHcDc 2308
s7YxeM4YWo8 6577
4vP4_wEunFw 276
CN7MhxLuc_Q 6079
9JkW99c-j_o 374
sYg2mOizdZI 25175
uS_PZHidou4 480
J54a-qyH3dA 2742
Awe_NmnErGg 448
sYg2mOizdZI 29262
9SpCZQtbsWk 1074
dAMUnJqNWaw 3309
efKmPgRWL1E 270
ugPFba5pgis 559
oXgBJ86cEbU 2976
c-tL8nt3Nak 415
ffe-qVZHwfY 26
ldxaKDWb_Kw 945
KpwPf42QGbI 145
sYg2mOizdZI 19496
gkcVbhfvnGI 0
ipyzysYHKfw 88
hK5Lnpzf_xM 1406
kXT0aSIxbqY 132
kit4DvOEM7c 61
qbzbDqfjiAI 12
9SpCZQtbsWk 1085
ozIkGQUhrZ0 16
Wm1pVImlMkQ 154
-MnRxON-78s 2442
CEA_q7cKgMI 680
VwFRSchhy18 188
sYg2mOizdZI 17207
PKY98N8ffnI 3944
sYg2mOizdZI 17138
19s6r7e1FuE 130
MQtR4iW3Dqs 56
BvG7Ykm39_0 754
MYwzuSkQvgo 173
bGnivk-jepU 49
3E-GcrlBsIc 389
OQQi0DPZAwM 564
5mg-xwG0d_Y 509
pQ2q6tQyHXc 673
v76xPbDr14M 3163
x95SOBfrIzg 277
7nyl46ZM8zQ 392
pKlMC33Owl8 2231
2BhR-0jyYcc 349
sYg2mOizdZI 13761
meKA7rPTgG0 240
IMrizOzWYow 26
j24tkkGZt58 615
sYg2mOizdZI 20584
MzcdEI-tSUc 684
1orBujATQSc 17
6lyC0WfzRQw 4607
PKY98N8ffnI 4377
PVWgZKtOMjY 190
XRgAsjKnRKw 610
hBz0oAmbeSo 93
RjlmwotfNWk 198
UmvrF64eaEw 89
LVKEZkWmGZQ 873
BpKYid_Gm5M 13
LfXYH5a_whE 128
-fP33wzNETU 838
pCPntLvzWPE 1496
sYg2mOizdZI 11273
EdVdK31gS5w 81
6X8Mv2-Zpag 134
Awe_NmnErGg 1773
dMYhXvXvQNI 1311
70YT_88_t7Q 906
ObuCjLo8fYc 7883
SeLJChGJ7iM 197
ouKm3NdV5YE 8707
sYg2mOizdZI 33420
qI_ZIGcnt_E 86
WsGjOCPjyB8 464
voMBpyHf9QE 60
TiPszBaCX_0 905
YCDVFF6-AOs 155
dAMUnJqNWaw 2324
weqfttsgFT8 237
XUHXxmUJ7LI 114
yaVGpNiWiaY 765
B6mLjgn2tAw 3045
nvCnxnCO5vg 16
RiaJr9918oM 70
n6DN7BWhFSY 2366
sYg2mOizdZI 22579
XHAI-RdumDk 973
_PnWPDbk61s 303
VaZBJFSyito 97
w5fbtTYnpSk 238
Awe_NmnErGg 1731
5g8UsTKizbM 407
sYg2mOizdZI 33179
Rt_8veO0X8Q 42
IWLEuDxkcv4 1670
Pud2WnmJtJc 785
_65lEmHZ3hQ 746
qyXzNLQa_3M 119
c-tL8nt3Nak 300
PnH4TzziaYU 1199
becFEU7sHJU 4811
sYg2mOizdZI 19103
sYg2mOizdZI 12250
NCEaBXA_tzk 555
MaRIJzz372E 814
2lqdbhgo-Y8 924
pVBTPHjNunw 520
nu-3GRyfRjg 468
GnEWtqSidOc 150
3MFgOiQAYJ4 234
6uYRW0FgZpo 899
EgXG-rCvCT8 899
fLVQGZ0_OTY 120
skKh5wyzlR0 318
my5DHbLwnLI 1315
PnH4TzziaYU 2582
P5USQYRwDt0 316
sYg2mOizdZI 35583
t-7C1-laJ4M 2080
5jNAMtcSLhQ 294
YwCBw7cPOAY 6628
XHAI-RdumDk 4115
1TyFfsrYDgY 419
GedgfeJ1Zas 3222
vmHfv1WbU8k 503
QOrWYqV8-kA 154
Ra9FqlaaeK8 61
ONwWgyOc7Ok 476
J54a-qyH3dA 1386
becFEU7sHJU 691
sYg2mOizdZI 22564
_IcZOt0KsC8 176
akM7WfYdFHw 768
rIA34K_zQow 2220
dMYhXvXvQNI 1260
DAuQ8tyCWq4 90
t-7C1-laJ4M 586
ouKm3NdV5YE 6318
WZ2zz4TfGvA 335
ObuCjLo8fYc 2649
YiXHBJiWdPs 2774
S9w8HIDshPY 2233
IWLEuDxkcv4 5363
becFEU7sHJU 615
j24tkkGZt58 4063
_D7CJg5fvsE 136
IWLEuDxkcv4 4808
_AV7iNbWyoY 3564
Bvu9m__ZX60 173
sYg2mOizdZI 33346
vaO2wyWO800 2759
vaO2wyWO800 2002
s7YxeM4YWo8 3498
VdGS6I09l_8 2730
YiXHBJiWdPs 826
weqfttsgFT8 950
eDDmstlwW24 183
5g8UsTKizbM 834
uQHumRYHH-8 243
my5DHbLwnLI 1037
SaTt8SOvLEg 326
2HiF7eW9cVU 565
MWoDBG2auaI 1087
uXwJultSIHE 0
IuC_u7HkA-E 369
00Eu5i2mTbw 48
9A6z42uZLvo 72
w3sz4OSY7II 1286
AcSYqyt4zV0 143
dqvzAtI7K4I 158
sYg2mOizdZI 32069
mTSf7blhKnI 153
2gYycOfT5mA 3427
ZL9g1YqJsHY 1129
6_bfPzclL08 731
B6mLjgn2tAw 2681
sYg2mOizdZI 11431
e63TvyRj5w4 669
sYg2mOizdZI 20214
FTiIbi_Hp50 1068
EgXG-rCvCT8 1459
1po3ma5YHFs 685
LPF4JE9kbzE 662
4DzcXZd45d4 1670
CRYeP2K2J-M 253
Wq335aEQreA 1449
sYg2mOizdZI 25547
3E-GcrlBsIc 358
S742NDLvooY 225
qENf-7PHol4 2210
sYg2mOizdZI 32784
_AV7iNbWyoY 2359
cCPzmudYQGQ 336
ffsznHClegw 204
GkC5Z9P6z00 344
sYg2mOizdZI 13044
9JkW99c-j_o 424
PKY98N8ffnI 1608
1IzeNZw7x8Y 113
nu-3GRyfRjg 762
LVKEZkWmGZQ 1741
Dd41SeVdslY 30
sYg2mOizdZI 17343
s3BqZbHEk14 278
EPXuw1ZN2Sk 318
Z7Lh6Vr-OIw 861
7KUKcXSBQX4 78
BaGOThZohyc 119
tcz9Mzzm1p4 834
Q9fOBAlXTK0 3413
qO61mS3bV5c 788
Lrwc89TTPFU 87
1xeC-samjAo 261
B6mLjgn2tAw 2606
PKY98N8ffnI 4041
LVKEZkWmGZQ 1866
kqNtLrkvTwc 1988
Mns_mnVRTgc 601
Gleb5jsH3_A 463
M1WwelWfWHQ 333
cKyxhGdD67o 349
WaAmpGDdTDM 209
vCQ485XU3OU 331
sYg2mOizdZI 24787
-j1NkyfHMPw 555
sYg2mOizdZI 13879
dUf4W2IZNo8 36
T6BhIZ4jTLk 332
sYg2mOizdZI 23079
IuC_u7HkA-E 3249
-NIJWDWqukk 767
1xeC-samjAo 183
sYg2mOizdZI 11111
lzAe9NkMjoY 628
Vbb7enFow8k 83
oI7SBQmQlmM 293
WOYDUkkWKU4 50
dCkbz2kDsao 1312
icrTsFhVuCQ 935
a1XxGM_bdPY 34
2gYycOfT5mA 7862
KgcTz4C31SM 1016
sYg2mOizdZI 23969
mTSf7blhKnI 121
po5rZ0EzSeE 2234
sYg2mOizdZI 18502
dCkbz2kDsao 1441
jT-VXQyvlTw 3074
4BZX_h5Dohk 508
_AV7iNbWyoY 3433
khCdQALXXZc 725
tcz9Mzzm1p4 3660
kqNtLrkvTwc 1838
xaeOYhl9OZ8 1777
K1RUfBb_j-s 549
SGVN32avdPI 4828
yHji03B93v0 208
OoaDaC_krok 136
sYg2mOizdZI 21020
_AV7iNbWyoY 1144
j24tkkGZt58 4188
gd4XFX7OhCo 135
sYg2mOizdZI 13847
5g8UsTKizbM 1967
TiPszBaCX_0 844
ebTBo4v6Ct8 877
hf1YqgutDf4 197
vtHqobULN6I 3088
nx_dNjSb7HI 1663
ppyPJngyQW0 35
Bc1X8fPVogA 2333
nagycDdW04w 104
fFsL5Q3hbwU 134
5g8UsTKizbM 1983
ZSXnw-fJbGk 191
ZxonVYZ6YxQ 781
E2h4a4pLC4A 188
c2vf3UN51h4 2460
k4F0U2pFpzM 157
sYg2mOizdZI 10282
IWLEuDxkcv4 4696
vTRUrueC8-A 320
XXjX-x0qU0Y 3
UsYtt2zjq5Q 1600
f7UJ9FwlX-8 4
_74aGilhTGU 2081
2gYycOfT5mA 3589
dMYhXvXvQNI 3291
KOxPkbOUzV0 987
fBqz3SYDb2s 1927
wx_DiRTHcDc 3875
sYg2mOizdZI 20464
n6DN7BWhFSY 2064
z15HgMkRuVU 127
s6KPkTe9j7M 121
Eg_SGvYgNp0 1476
7KUKcXSBQX4 173
T4yfvBJ9a70 528
sDZuOeRrbRk 1085
XRgAsjKnRKw 885
ik0oolrd5Wc 610
s3BqZbHEk14 264
U2MCAEotzm4 136
5g8UsTKizbM 900
MOkShC6Mfdo 76
my5DHbLwnLI 182
Zy_iQSi5HbM 267
_PnWPDbk61s 243
wx_DiRTHcDc 2912
cCPzmudYQGQ 68
meKA7rPTgG0 408
GW1FA45Cp1E 77
Awe_NmnErGg 1614
s7YxeM4YWo8 1582
t-7C1-laJ4M 1495
XZY3nPnDCQw 593
OQQi0DPZAwM 622
9JkW99c-j_o 977
t-7C1-laJ4M 2206
5d9XEfAM0yE 163
w0__hEiJbZQ 168
6tAbmpe1OL4 485
Lk7JHCLlQdQ 890
gkh4yW3WVn0 79
C-lFB2sH2RY 696
1DK_vTrhaCM 4493
-3OY-UFP2O4 957
sYg2mOizdZI 21431
0SyI5i_x3IM 513
FPbuBRNf7ec 96
Gq4Y4gL3zSg 174
CEA_q7cKgMI 970
-MnRxON-78s 684
vtHqobULN6I 4080
pUXlnYregS8 2474
RIIf-yz7thI 280
R3iUIMlPtNY 220
_IcZOt0KsC8 3462
fcDX8jRnz8c 72
DO6_Rp_ZDCw 977
qAPAId7lpEQ 549
Bc1X8fPVogA 7028
